,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,1681,7130,nan,nan,nan,nan,31
2,1855,5610,nan,nan,nan,nan,29
3,1838,5160,nan,nan,nan,nan,31
4,1715,2570,nan,nan,nan,nan,30
5,1833,1810,nan,nan,nan,nan,31
6,3380,200,nan,nan,nan,nan,30
7,3021,80,nan,nan,nan,nan,31
8,3063,60,nan,nan,nan,nan,31
9,2356,450,nan,nan,nan,nan,30
10,1617,2020,nan,nan,nan,nan,31
11,1240,4790,nan,nan,nan,nan,30
12,1642,5150,nan,nan,nan,nan,31
