,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,2040,303,nan,nan,nan,nan,31
2,2200,186,nan,nan,nan,nan,29
3,1720,137,nan,nan,nan,nan,31
4,1560,71,nan,nan,nan,nan,30
5,1680,36,nan,nan,nan,nan,31
6,1520,1,nan,nan,nan,nan,30
7,1560,0,nan,nan,nan,nan,31
8,1800,0,nan,nan,nan,nan,31
9,1680,2,nan,nan,nan,nan,30
10,1440,2,nan,nan,nan,nan,31
11,1800,116,nan,nan,nan,nan,30
12,1880,182,nan,nan,nan,nan,31
