,Year 1 - kWh2023,Year 1 - Therms2023,Year 2 - kWh2024,Year 2 - Therms2024,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,1024,360,nan,nan,nan,nan,31
2,838,251,nan,nan,nan,nan,28
3,704,165,nan,nan,nan,nan,31
4,616,85,nan,nan,nan,nan,30
5,670,39,nan,nan,nan,nan,31
6,726,6,nan,nan,nan,nan,30
7,831,6,nan,nan,nan,nan,31
8,815,8,nan,nan,nan,nan,31
9,819,7,nan,nan,nan,nan,30
10,602.0,14.0,nan,nan,nan,nan,31
11,846.0,120.0,nan,nan,nan,nan,30
12,890.0,276.0,nan,nan,nan,nan,31
