,Year 1 - kWh2022,Year 1 - Therms2022,Year 2 - kWh2023,Year 2 - Therms2023,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,1809,997,nan,nan,nan,nan,31
2,1154,790,nan,nan,nan,nan,28
3,1424,575,nan,nan,nan,nan,31
4,1539,112,nan,nan,nan,nan,30
5,1258,126,nan,nan,nan,nan,31
6,1259,32,nan,nan,nan,nan,30
7,1321,6,nan,nan,nan,nan,31
8,1559,3,nan,nan,nan,nan,31
9,1238,48,nan,nan,nan,nan,30
10,1493,370,nan,nan,nan,nan,31
11,1686,636,nan,nan,nan,nan,30
12,1922,1102,nan,nan,nan,nan,31
