,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,2880,687,,,,,31
2,3100,776,,,,,29
3,2900,572,,,,,31
4,2540,370,,,,,30
5,2600,292,,,,,31
6,2200,120,,,,,30
7,2080,39,,,,,31
8,2420,8,,,,,31
9,2520,18,,,,,30
10,1140,40,,,,,31
11,1480,270,,,,,30
12,2640,495,,,,,31
