,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2022,Year 3 - Therms2022,BillDays
1,3160,968,nan,nan,nan,nan,31
2,2920,735,nan,nan,nan,nan,29
3,2560,676,nan,nan,nan,nan,31
4,2240,289,nan,nan,nan,nan,30
5,2240,203,nan,nan,nan,nan,31
6,2160,22,nan,nan,nan,nan,30
7,3120,11,nan,nan,nan,nan,31
8,3280,13,nan,nan,nan,nan,31
9,2680,37,nan,nan,nan,nan,30
10,2440,245,nan,nan,nan,nan,31
11,2840,711,nan,nan,nan,nan,30
12,2600,828,nan,nan,nan,nan,31
