Measures,OrgPropValue,NewPropValue,TIC,OrgTotalkWh,OrgTotalTherm,EEMTotalkWh,EEMTotalTherm,PctkWhSavings,PctThermSavings,OrgAOC,EEMAOC,OrgTOC,EEMTOC,EEMLCC,OperatingCostChange,SPP,NPV,ROI
['DaylightingSensor'],['No'],['Yes'],36.0,9602.376443380163,3791.550707224583,8200.77644338016,3791.550707224583,14.596386720146338,0.0,6983.646880693197,6794.430880693197,72487.86648100201,70523.86910564963,70559.86910564963,189.21600000000035,0.19025875190258718,1927.997375352381,5355.548264867724
['OccupancySensor'],['No'],['Yes'],360.0,9602.376443380163,3791.550707224583,8044.410443380161,3791.550707224583,16.22479611361265,0.0,6983.646880693197,6773.321470693197,72487.86648100201,70304.76064846187,70664.76064846187,210.32541000000037,1.711633416048015,1823.105832540139,506.4182868167053
['Infiltration'],[25.0],[7.0],2273.7559560000004,9602.376443380163,3791.550707224583,9602.376443380163,1353.6741688397526,0.0,64.29761136359316,6983.646880693197,3326.832073115951,72487.86648100201,34531.37926939501,36805.13522539501,3656.814807577246,0.6217859190704915,35682.73125560701,1569.329864159221
['WallInsulation'],['Uninsulated'],['R23 Spray Foam'],8531.859600000002,9602.376443380163,3791.550707224583,9602.376443380163,3579.8191702367762,0.0,5.58429923103401,6983.646880693197,6666.049575211486,72487.86648100201,69191.31505625427,77723.17465625427,317.5973054817114,26.86376569555406,-5235.308175252263,-61.36186506458991
