,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2025,Year 2 - Therms2025,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,3310,624,,,,,31
2,3698,451,,,,,29
3,3032,352,,,,,31
4,1846,207,,,,,30
5,1653,135,,,,,31
6,2388,78,,,,,30
7,3776,44,,,,,31
8,3428,38,,,,,31
9,2650,61,,,,,30
10,2887,174,,,,,31
11,3494,324,,,,,30
12,3591,444,,,,,31
