,Year 1 - kWh2022,Year 1 - Therms2022,Year 2 - kWh2023,Year 2 - Therms2023,Year 3 - kWh2015,Year 3 - Therms2015,BillDays
1,2000,701,2320,715,nan,nan,31
2,1920,744,2360,897,nan,nan,28
3,1720,459,2360,708,nan,nan,31
4,1720,413,2120,399,nan,nan,30
5,1240,122,1640,83,nan,nan,31
6,920,16,1840,26,nan,nan,30
7,2360,13,2120,12,nan,nan,31
8,2000,11,2040,11,nan,nan,31
9,1520,27,1720,63,nan,nan,30
10,1360,225,1840,335,nan,nan,31
11,2280,810,2200,652,nan,nan,30
12,2840,1123,2480,836,nan,nan,31
