Measures,OrgPropValue,NewPropValue,TIC,OrgTotalkWh,OrgTotalTherm,EEMTotalkWh,EEMTotalTherm,PctkWhSavings,PctThermSavings,OrgAOC,EEMAOC,OrgTOC,EEMTOC,EEMLCC,OperatingCostChange,SPP,NPV,ROI
['Infiltration'],[25.0],[7.0],7209.322217824001,21338.31502321453,4080.1450350040964,21338.31502321453,1258.0374564035403,0.0,69.16684466824897,7178.72702818078,4328.398373794218,74512.73170196095,44927.294973000986,52136.61719082499,2850.3286543865615,2.5292950715452034,22376.114511135966,310.3775061657567
['ReduceEquipmentLoad'],[0],[50.0],0.0,21338.31502321453,4080.1450350040964,14141.037511607265,4080.1450350040964,33.72936196591508,0.0,7178.72702818078,6147.3571607674585,74512.73170196095,63807.46516732701,63807.46516732701,1031.3698674133211,0.0,10705.266534633934,0.0
['OccupancySensor'],['No'],['Yes'],1141.44,21338.31502321453,4080.1450350040964,18868.41959121453,4080.1450350040964,11.57493189744802,0.0,7178.72702818078,6824.79101277518,74512.73170196095,70838.99689465461,71980.43689465462,353.9360154055994,3.2249896882970392,2532.2948073063308,221.85089074382648
['WallInsulation'],['R15 Fiberglass'],['R36 Spray Foam'],19158.23,21338.31502321453,4080.1450350040964,21338.31502321453,3980.769520031723,0.0,2.4355878068014216,7178.72702818078,7078.3577580586825,74512.73170196095,73470.93300055181,92629.16300055181,100.36927012209708,190.87744661981122,-18116.431298590862,-94.562134908031
['HeatingEff'],[0.9],[0.98],3025.726002678161,21338.31502321453,4080.1450350040964,21338.31502321453,3838.6252230384794,0.0,5.919392813088433,7178.72702818078,6934.792018095506,74512.73170196095,71980.76971373567,75006.49571641383,243.93501008527346,12.403820188092084,-493.764014452885,-16.31886079624665
