,Year 1 - kWh2023,Year 1 - Therms2023,Year 2 - kWh2026,Year 2 - Therms2026,Year 3 - kWh2026,Year 3 - Therms2026,BillDays
1,515,67,,,,,31
2,453,59,,,,,28
3,454,50,,,,,31
4,440,32,,,,,30
5,615,29,,,,,31
6,870,20,,,,,30
7,1068,16,,,,,31
8,1348,16,,,,,31
9,992,19,,,,,30
10,567,28,,,,,31
11,499,49,,,,,30
12,640,63,,,,,31
