Measures,OrgPropValue,NewPropValue,TIC,OrgTotalkWh,OrgTotalTherm,EEMTotalkWh,EEMTotalTherm,PctkWhSavings,PctThermSavings,OrgAOC,EEMAOC,OrgTOC,EEMTOC,EEMLCC,OperatingCostChange,SPP,NPV,ROI
['WallInsulation'],['Uninsulated'],['R21 Fiberglass'],4972.17792,8243.41227494685,448.0,7697.408949333587,321.29288613896074,6.6235110825726995,28.282837915410546,1604.1929789998837,1406.3391869546822,16650.974549269024,14597.319846282535,19569.497766282533,197.85379204520154,25.130566710917826,-2918.5232170135114,-58.69707930752227
['Infiltration'],[25.0],[5.0],1404.8646048,8243.41227494685,448.0,6477.390688706482,390.52220707002425,21.423429125431607,12.829864493298158,1604.1929789998837,1296.8630491657418,16650.974549269024,13460.994972692593,14865.859577492593,307.3299298341419,4.571193588461005,1785.1149717764292,127.06669138628938
['CeilingInsulation'],['R30 Fiberglass'],['R60 Fiberglass'],2151.36,8243.41227494685,448.0,8188.965493782228,427.0337871864387,0.6604883918046289,4.679958217312789,1604.1929789998837,1576.5986503629913,16650.974549269024,16364.554854224907,18515.914854224906,27.594328636892442,77.96384642327277,-1864.9403049558841,-86.68657523407907
['WindowMaterial'],['Single Pane Clear'],['Low e Double Pane Medium SHGC Air filled'],1950.4742399999998,8243.41227494685,448.0,8035.045067400642,367.76254383941813,2.5276815061096864,17.910146464415597,1604.1929789998837,1498.5897995429227,16650.974549269024,15554.84965876115,17505.32389876115,105.60317945696102,18.46984390081667,-854.3493494921258,-43.80213447433821
['DaylightingSensor'],['No'],['Yes'],21.6,8243.41227494685,448.0,6891.148594946851,448.0,16.40417384084697,0.0,1604.1929789998837,1410.4135936558837,16650.974549269024,14639.610794549479,14661.210794549479,193.77938534400005,0.11146696518649474,1989.7637547195463,9211.869234812708
['OccupancySensor'],['No'],['Yes'],216.0,8243.41227494685,448.0,6740.28667814685,448.0,18.234264484966463,0.0,1604.1929789998837,1388.7950809784436,16650.974549269024,14415.218025663578,14631.218025663578,215.39789802144014,1.0027953010873853,2019.7565236054452,935.0724646321505
['CoolingEff'],[12.0],[17.1],2786.600622343171,8243.41227494685,448.0,7525.934848724081,448.0,8.703646042347122,0.0,1604.1929789998837,1501.378463822161,16650.974549269024,15583.795040362933,18370.395662706105,102.8145151777228,27.10318302358687,-1719.4211134370798,-61.703176969481525
['HeatingEff'],[0.925],[0.98],2915.9606503964606,8243.41227494685,448.0,8243.41227494685,434.5591895784496,0.0,3.000180897667499,1604.1929789998837,1591.5048539619402,16650.974549269024,16519.276150229492,19435.236800625953,12.688125037943564,229.81808909325397,-2784.2622513569295,-95.48353305036456
