Measures,OrgPropValue,NewPropValue,TIC,OrgTotalkWh,OrgTotalTherm,EEMTotalkWh,EEMTotalTherm,PctkWhSavings,PctThermSavings,OrgAOC,EEMAOC,OrgTOC,EEMTOC,EEMLCC,OperatingCostChange,SPP,NPV,ROI
['OccupancySensor'],['No'],['Yes'],1200,38137.36201,2932,33955.99395,3309.961269,10.96396772,-12.89090277,6390.601047,6459.304894,66332.25352,67045.37596,68245.37596,-68.70384712,-17.46627082,-1913.122439,-159.4268699
['HeatingEff'],[0.93],[0.98],3025.565572,38137.36201,2932,38137.36201,2813.330842,0,4.047379205,6390.601047,6260.064973,66332.25352,64977.33371,68002.89928,130.5360741,23.17800341,-1670.645761,-55.21763522
['OccupancySensor'],['No'],['Yes'],1200,38137.36201,2932,36587.93281,2932,4.062759243,0,6390.601047,6261.998423,66332.25352,64997.40227,66197.40227,128.6026236,9.331069355,134.8512558,11.23760465
['Infiltration'],[25.0],[7.0],7579.18652,38137.36201,2932,35896.80794,1717.815184,5.874958181,41.41148758,6390.601047,4869.031761,66332.25352,50538.88466,58118.07118,1521.569285,4.981164245,8214.182342,108.3781527
['DaylightingSensor'],['No'],['Yes'],120,38137.36201,2932,36743.44201,2932,3.654998476,0,6390.601047,6274.905687,66332.25352,65131.37525,65251.37525,115.69536,1.037206678,1080.878273,900.7318945
['WindowMaterial'],['Double Pane Clear'],['Low e Double Pane Medium SHGC Air filled Insulated'],25622.8224,38137.36201,2932,35303.17453,2708.81999,7.431524696,7.611869365,6390.601047,5909.865475,66332.25352,61342.38269,86965.20509,480.7355713,53.29920216,-20632.95156,-80.5256784
