NG-Space Heating,EL-Space Heating,NG-DHW Heating,EL-Space Cooling,EL-Lighting,EL-Electric Equipment,EPD,HDD_EL,HDD_NG,CDD
199056.6277477231,0.0,17291.09662380492,0.0,1141.6680000000001,2313.873441969385,0.006220089897767164,0.0,772.8344200360632,0.0
112644.3661234461,0.0,17291.09662380492,0.0,1068.012,2387.5294419693855,0.006860716787268349,0.0,437.3400893421857,0.0
84201.93361438808,0.0,17291.09662380492,0.0,1141.6680000000001,2313.873441969385,0.006220089897767164,0.0,326.9127648101385,0.0
38144.1898641223,0.0,17291.09662380492,0.0,1104.8400000000001,2350.701441969385,0.006529726227692737,0.0,148.09425430810168,0.0
11731.547794515276,0.0,17291.09662380492,0.0,1141.6680000000001,2313.873441969385,0.006220089897767164,0.0,45.54756120650334,0.0
0.0,0.0,17291.09662380492,0.0,1104.8400000000001,2350.701441969385,0.006529726227692737,0.0,0.0,0.0
0.0,0.0,17291.09662380492,0.0,1141.6680000000001,2313.873441969385,0.006220089897767164,0.0,0.0,0.0
0.0,0.0,17291.09662380492,0.0,1141.6680000000001,2313.873441969385,0.006220089897767164,0.0,0.0,0.0
1021.1585253941455,0.0,17291.09662380492,0.0,1104.8400000000001,2350.701441969385,0.006529726227692737,0.0,3.9646329070642707,0.0
13584.867353839594,0.0,17291.09662380492,0.0,1141.6680000000001,2313.873441969385,0.006220089897767164,0.0,52.743047048789165,0.0
120668.69583794664,0.0,17291.09662380492,0.0,1104.8400000000001,2350.701441969385,0.006529726227692737,0.0,468.4944310551564,0.0
115275.2630136982,0.0,17291.09662380492,0.0,1104.8400000000001,2350.701441969385,0.006529726227692737,0.0,447.5545076982001,0.0
