Measures,OrgPropValue,NewPropValue,TIC,OrgTotalkWh,OrgTotalTherm,EEMTotalkWh,EEMTotalTherm,PctkWhSavings,PctThermSavings,OrgAOC,EEMAOC,OrgTOC,EEMTOC,EEMLCC,OperatingCostChange,SPP,NPV,ROI
['WallInsulation'],['R7 Fiberglass'],['R23 Spray Foam'],13406.58,12370.26003,2867.251092,12370.26003,2737.60552,0,4.521598135,4009.247005,3878.304978,41614.61291,40255.47944,53662.05944,130.9420276,102.3856148,-12047.44653,-89.86219103
,,,,,,,,,,,,,,,,,,
,,,,,,129.6455719,,,,,130.9420276,,,,13407,,,
,,,,,58.34050735,,30.66117775,,,58.92391242,,30.96778953,,,,,,
,,,,,,89.0016851,,0.031040771,,,89.89170195,,,,149.1461359,,,
,,,,,,2607.749374,,,,,,,,,,,,
