,Year 1 - kWh2024,Year 1 - Therms2024,Year 2 - kWh2024,Year 2 - Therms2024,Year 3 - kWh2025,Year 3 - Therms2025,BillDays
1,8307,2008,nan,nan,nan,nan,31
2,7911,1515,nan,nan,nan,nan,29
3,7497,1006,nan,nan,nan,nan,31
4,6344,769,nan,nan,nan,nan,30
5,6284,381,nan,nan,nan,nan,31
6,12068,121,nan,nan,nan,nan,30
7,13907,21,nan,nan,nan,nan,31
8,12863,38,nan,nan,nan,nan,31
9,8400,100,nan,nan,nan,nan,30
10,6560,499,nan,nan,nan,nan,31
11,7411,1352,nan,nan,nan,nan,30
12,7677,2011,nan,nan,nan,nan,31
