,Year 1 - kWh2022,Year 1 - Therms2022,Year 2 - kWh2026,Year 2 - Therms2026,Year 3 - kWh2026,Year 3 - Therms2026,BillDays
1,432,166,,,,,31
2,449,164,,,,,28
3,396,98,,,,,31
4,429,68,,,,,30
5,417,40,,,,,31
6,806,46,,,,,30
7,947,38,,,,,31
8,1147,59,,,,,31
9,960,84,,,,,30
10,974,146,,,,,31
11,1150,247,,,,,30
12,1234,289,,,,,31
