NG-Space Heating,EL-Space Heating,NG-DHW Heating,EL-Space Cooling,EL-Lighting,EL-Electric Equipment,EPD,HDD_EL,HDD_NG,CDD
0.0,0.0,10565.853128043675,49.53246428388342,750.7101359999999,609.9342045473277,0.006649306157783554,224.01413356605855,0.0,31.67506503548794
0.0,0.0,10565.853128043675,50.347666667501215,678.060768,682.5835725473275,0.00823858896040322,287.66205218659877,0.0,32.19637139267195
0.0,0.0,10565.853128043675,299.10469629462085,750.7101359999999,609.9342045473277,0.006649306157783554,151.16087671617018,0.0,191.27174156434268
0.0,0.0,10565.853128043675,554.8890200158166,726.4936799999999,634.1506605473277,0.00714374969637634,8.239213764591419,0.0,354.8409321156667
0.0,0.0,10565.853128043675,909.5849680766205,750.7101359999999,609.9342045473277,0.006649306157783554,3.7467497394385703,0.0,581.662217611563
0.0,0.0,10565.853128043675,1493.454046612914,726.4936799999999,634.1506605473277,0.00714374969637634,0.0,0.0,955.0353437466383
0.0,0.0,10565.853128043675,1832.407668180021,750.7101359999999,609.9342045473277,0.006649306157783554,0.0,0.0,1171.7897120659552
0.0,0.0,10565.853128043675,1756.9794773393826,750.7101359999999,609.9342045473277,0.006649306157783554,0.0,0.0,1123.5548244033237
0.0,0.0,10565.853128043675,1368.7306257383225,726.4936799999999,634.1506605473277,0.00714374969637634,0.0,0.0,875.2770978211141
0.0,0.0,10565.853128043675,674.5659189092338,750.7101359999999,609.9342045473277,0.006649306157783554,0.6180917307805558,0.0,431.3720236028294
0.0,0.0,10565.853128043675,151.0961558790952,726.4936799999999,634.1506605473277,0.00714374969637634,181.75089775869236,0.0,96.62310634602926
0.0,0.0,10565.853128043675,81.21209693031778,726.4936799999999,634.1506605473277,0.00714374969637634,263.4047772421446,0.0,51.93358515726337
