Measures,OrgPropValue,NewPropValue,TIC,OrgTotalkWh,OrgTotalTherm,EEMTotalkWh,EEMTotalTherm,PctkWhSavings,PctThermSavings,OrgAOC,EEMAOC,OrgTOC,EEMTOC,EEMLCC,OperatingCostChange,SPP,NPV,ROI
['DaylightingSensor'],['No'],['Yes'],264.0,35673.05254208207,14527.563597092138,33206.236542082064,14527.56359709214,6.915068445824764,-1.252095295531832e-14,21968.225932265952,21534.066316265955,228022.67288241177,223516.244534344,223780.244534344,434.1596159999972,0.6080712951432169,4242.42834806777,1606.9804348741552
['HeatingEff'],[0.8],[0.98],3420.1189957321744,35673.05254208207,14527.563597092138,35673.05254208207,12062.926152042155,0.0,16.965249737700745,21968.225932265952,19306.417491611974,228022.67288241177,200394.01150528074,203814.1305010129,2661.8084406539783,1.2848854724090841,24208.542381398875,707.8274882133547
['CeilingInsulation'],['Uninsulated'],['R49 Fiberglass'],45099.99999999999,35673.05254208207,14527.563597092138,35673.05254208207,12609.671549778388,0.0,13.201746008516102,21968.225932265952,19896.902521167103,228022.67288241177,206523.04418872794,251623.04418872794,2071.3234110988487,21.773519170564576,-23600.37130631617,-52.328982940834074
